run,pipes,stages,samples,max_copy,scheduler,buffer,time
5,6,17,200000000,512,smol1,circ,41.710122359
5,6,17,200000000,512,smol1,slab,25.526570877
5,6,17,200000000,512,smoln,circ,18.02817475
5,6,17,200000000,512,smoln,slab,11.918435397
5,6,19,200000000,512,flow,circ,11.623266572
5,6,19,200000000,512,flow,slab,8.535490374
5,6,19,200000000,512,smol1,circ,45.896291677
5,6,19,200000000,512,smol1,slab,29.202283823
5,6,19,200000000,512,smoln,circ,20.131644172
5,6,19,200000000,512,smoln,slab,13.34099162
5,6,21,200000000,512,flow,circ,13.049546229
5,6,21,200000000,512,flow,slab,10.510525573
5,6,21,200000000,512,smol1,circ,50.218065083
5,6,21,200000000,512,smol1,slab,32.734974605
5,6,21,200000000,512,smoln,circ,22.202228653
5,6,21,200000000,512,smoln,slab,15.035531928
5,6,23,200000000,512,flow,circ,14.38642678
5,6,23,200000000,512,flow,slab,12.13174115
5,6,23,200000000,512,smol1,circ,55.441465778
5,6,23,200000000,512,smol1,slab,36.431775328
5,6,23,200000000,512,smoln,circ,24.272341316
5,6,23,200000000,512,smoln,slab,16.029816177
5,6,3,200000000,512,flow,circ,3.004087454
5,6,3,200000000,512,flow,slab,0.903738883
5,6,3,200000000,512,smol1,circ,10.662146801
5,6,3,200000000,512,smol1,slab,3.501964156
5,6,3,200000000,512,smoln,circ,5.363031221
5,6,3,200000000,512,smoln,slab,2.393233078
5,6,5,200000000,512,flow,circ,3.835441885
5,6,5,200000000,512,flow,slab,1.473123574
5,6,5,200000000,512,smol1,circ,14.757570268
5,6,5,200000000,512,smol1,slab,5.7573780150000005
5,6,5,200000000,512,smoln,circ,7.182329075
5,6,5,200000000,512,smoln,slab,3.949774348
5,6,7,200000000,512,flow,circ,4.76027103
5,6,7,200000000,512,flow,slab,1.984503851
5,6,7,200000000,512,smol1,circ,18.938439133
5,6,7,200000000,512,smol1,slab,8.410913071
5,6,7,200000000,512,smoln,circ,9.077926167
5,6,7,200000000,512,smoln,slab,5.068149095
5,6,9,200000000,512,flow,circ,5.775508918
5,6,9,200000000,512,flow,slab,2.6173556
5,6,9,200000000,512,smol1,circ,23.051597792
5,6,9,200000000,512,smol1,slab,11.227696653
5,6,9,200000000,512,smoln,circ,10.987003605
5,6,9,200000000,512,smoln,slab,6.244162526
6,6,11,200000000,512,flow,circ,7.20709471
6,6,11,200000000,512,flow,slab,3.336354802
6,6,11,200000000,512,smol1,circ,27.336265899
6,6,11,200000000,512,smol1,slab,14.527134959
6,6,11,200000000,512,smoln,circ,12.659404517
6,6,11,200000000,512,smoln,slab,7.823604098
6,6,1,200000000,512,flow,circ,1.762406462
6,6,1,200000000,512,flow,slab,0.349133281
6,6,1,200000000,512,smol1,circ,6.498479409
6,6,1,200000000,512,smol1,slab,1.359605746
6,6,1,200000000,512,smoln,circ,3.311114746
6,6,1,200000000,512,smoln,slab,1.001625475
6,6,13,200000000,512,flow,circ,7.776962114
6,6,13,200000000,512,flow,slab,4.869908403
6,6,13,200000000,512,smol1,circ,31.759899987
6,6,13,200000000,512,smol1,slab,19.258813585
6,6,13,200000000,512,smoln,circ,14.810637882
6,6,13,200000000,512,smoln,slab,9.338361837
6,6,3,200000000,512,flow,circ,2.846657914
6,6,3,200000000,512,flow,slab,0.883020435
6,6,3,200000000,512,smol1,circ,10.556512581
6,6,3,200000000,512,smol1,slab,3.494928787
